air_passenger_miles
"46,456"
"65,524"
"37,444"
"54,755"
"42,418"
"64,988"
"55,355"
"39,052"
"40,814"
"53,734"
"55,811"
"53,448"
"53,463"
"48,168"
"49,873"
"54,454"
"38,575"
"52,411"
"42,734"
"52,609"
"45,385"
"46,158"
"59,919"
"44,696"
"54,968"
"42,819"
"37,147"
"56,577"
"51,647"
"53,346"
"34,848"
"38,581"
"53,249"
"50,452"
"49,809"
"45,245"
"59,426"
"51,347"
"53,219"
"58,982"
"60,224"
"36,069"
"50,808"
"51,147"
"60,246"
"51,025"
"35,266"
"41,678"
"49,745"
"55,664"
"69,004"
"33,869"
"55,470"
"43,057"
"61,165"
"46,693"
"49,993"
"61,379"
"58,714"
"58,771"
"55,462"
"29,672"
"45,015"
"66,925"
"56,442"
"38,864"
"64,095"
"67,883"
"51,846"
"45,589"
"53,044"
"56,283"
"65,041"
"38,482"
"42,200"
"39,725"
"43,868"
"50,077"
"53,235"
"46,993"
"54,303"
"40,578"
"53,130"
"57,423"
"36,203"
"48,903"
"44,297"
"60,497"
"51,980"
"47,858"
"35,699"
"39,994"
"42,051"
"37,912"
"63,600"
"62,323"
"48,063"
"48,861"
"44,641"
"39,045"
"41,565"
"59,442"
"39,107"
"44,680"
"49,993"
"49,561"
"38,420"
"43,703"
"47,291"
"45,754"
"48,165"
"48,169"
"43,264"
"38,869"
"49,877"
"44,271"
"62,882"
"44,678"
"50,183"
"38,173"
"45,434"
"40,610"
"37,294"
"42,230"
"47,390"
"68,573"
"45,916"
"45,158"
"57,796"
"55,380"
"39,062"
"42,059"
"61,888"
"63,752"
"49,361"
"34,903"
"50,414"
"50,603"
"52,331"
"35,154"
"36,863"
"57,407"
"39,728"
"54,776"
"53,591"
"49,561"
"47,744"
"59,802"
"48,926"
"46,588"
"52,780"
"57,761"
"43,762"
"48,764"
"60,813"
"64,398"
"45,770"
"45,427"
"32,965"
"37,982"
"56,033"
"34,688"
"57,335"
"53,867"
"45,845"
"48,622"
"58,834"
"62,570"
"38,869"
"53,013"
"42,134"
"53,774"
